COD_PERFIL;UCS_F;FASES;CLIMA_AMBIENTAL;DISTRIBUCION_LLUVIAS;PORC_PENDIENTE;GRADO_EROSION;DRENAJE_NATURAL;FRECUENCIA_INUNDACION;H1_VOLUMEN_POR_CFR_1;PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA;PROFUNDIDAD_EFECTIVA;H1_CLASE_ESTRUCTURA_1;FERTILIDAD;CE_(dS_m);"PORC_SAT_SODIO
SALINIDAD_PSI ";PORC_SAI;PORC_CARBONO ORGANICO
SN-128;MFI03dp;dp;18;Bimodal;12-25;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
SN-128;MFI03ep;ep;18;Bimodal;25-50;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
SN-128;MFI04a;a;18;Bimodal;0-3;Ligero;Bien drenado;;N/A;N/A;50 - 75;Fina y media;Muy baja;0;0;0;1
SN-128;MFI04ap;ap;18;Bimodal;0-3;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
SN-128;MFI04apw;apw;18;Bimodal;0-3;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
A-130;MGI01/MJI01d;d;9;Monomodal o Bimodal;12-25;Moderado;Bien drenado;;N/A;N/A;>150;Fina;Media;0;0;0;39
A-130;MGI01/MJI01e;e;9;Monomodal o Bimodal;25-50;Moderado;Bien drenado;;N/A;N/A;>150;Fina;Media;0;0;0;39
A-130;MGI01/MJI01f;f;9;Monomodal o Bimodal;50-75;Moderado;Bien drenado;;N/A;N/A;>150;Fina;Media;0;0;0;39
A-130;MGI01/MJI01g;g;9;Monomodal o Bimodal;>75;Moderado;Bien drenado;;N/A;N/A;>150;Fina;Media;0;0;0;39
SN-030;MGI03d;d;14;Monomodal o Bimodal;12-25;Ligero;Moderadamente excesivo;;N/A;N/A;50 - 75;Fina;Baja;0;0;2;8
SN-030;MGI03e;e;14;Monomodal o Bimodal;25-50;Ligero;Moderadamente excesivo;;N/A;N/A;50 - 75;Fina;Baja;0;0;2;8
PC-028;MJE01ew;ew;18;Bimodal;25-50;Ligero;Bien drenado;;N/A;N/A;<25;gruesa;Muy baja;0;0;63.8;3
PC-028;MJE01fw;fw;18;Bimodal;50-75;Ligero;Bien drenado;;N/A;N/A;<25;gruesa;Muy baja;0;0;63.8;3
PC-028;MJE01gw;gw;18;Bimodal;>75;Ligero;Bien drenado;;N/A;N/A;<25;gruesa;Muy baja;0;0;63.8;3
47S202;MJI02/MJI03e;e;15;Bimodal;25-50;N/A;Bien drenado;;5;3 - 15;100 - 150;Fina;Muy baja;0;0;97.41;2.59
47S202;MJI02/MJI03f;f;15;Bimodal;50-75;N/A;Bien drenado;;5;3 - 15;100 - 150;Fina;Muy baja;0;0;97.41;2.59
47S202;MJI02/MJI03g;g;15;Bimodal;>75;N/A;Bien drenado;;5;3 - 15;100 - 150;Fina;Muy baja;0;0;97.41;2.59
47S216;MPI06dpw;dpw;10;Bimodal;12-25;N/A;Bien drenado;;N/A;>15%;50 - 75;Media;Muy baja;0;0;0;11.93
SN-115;MQE01d;d;9;Monomodal o Bimodal;12-25;Moderado;Bien drenado;;N/A;N/A;50 - 75;Media;Baja;0;0;8.9;10
SN-115;MQE01e;e;9;Monomodal o Bimodal;25-50;Moderado;Bien drenado;;N/A;N/A;50 - 75;Media;Baja;0;0;8.9;10
SN-115;MQE01f;f;9;Monomodal o Bimodal;50-75;Moderado;Bien drenado;;N/A;N/A;50 - 75;Media;Baja;0;0;8.9;10
SN-115;MQE01g;g;9;Monomodal o Bimodal;>75;Moderado;Bien drenado;;N/A;N/A;50 - 75;Media;Baja;0;0;8.9;10
A-187;MQE02a;a;9;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;100 - 150;Fina;Baja;0;0;0;4.8
47S230;MQI01d;d;9;Monomodal o Bimodal;12-25;N/A;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
47S230;MQI01e;e;9;Monomodal o Bimodal;25-50;N/A;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
47S230;MQI01e1;e1;9;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
47S230;MQI01f;f;9;Monomodal o Bimodal;50-75;N/A;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
47S230;MQI01fw;fw;9;Monomodal o Bimodal;50-75;N/A;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
47S230;MQI01g;g;9;Monomodal o Bimodal;>75;N/A;Bien drenado;;N/A;0.1 - 3;75 - 100;Fina y media;Baja;0;0;0;2.95
SMG-039;MQI04/MQD-1f;f;9;Monomodal o Bimodal;50-75;Ligero;Bien drenado;;5;N/A;50 - 75;Fina y media;Baja;0;0;6.5;1.2
P-014;MQI06d;d;9;Monomodal o Bimodal;12-25;Moderado;Bien drenado;;N/A;N/A;75 - 100;Muy fina;Muy baja;0;0;0;9
P-014;MQI06e;e;9;Monomodal o Bimodal;25-50;Moderado;Bien drenado;;N/A;N/A;75 - 100;Muy fina;Muy baja;0;0;0;9
47S204;MQM02d;d;10;Bimodal;12-25;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
47S204;MQM02e;e;10;Bimodal;25-50;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
47S204;MQM02e1;e1;10;Bimodal;25-50;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
47S204;MQM02f;f;10;Bimodal;50-75;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
47S204;MQM02f1;f1;10;Bimodal;50-75;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
47S204;MQM02g;g;10;Bimodal;>75;Ligero;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Baja;0;0;0;22.03
SN-126;MR02b;b;18;Bimodal;3-7;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02cw;cw;18;Bimodal;7-12;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02d;d;18;Bimodal;12-25;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02dw;dw;18;Bimodal;12-25;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02e;e;18;Bimodal;25-50;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02ew;ew;18;Bimodal;25-50;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02f;f;18;Bimodal;50-75;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MR02fw;fw;18;Bimodal;50-75;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
NC-SJB-005A;MVVa;a;#N/A;#N/A;0-3;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
47S210;MWE05cw;cw;3;Monomodal o Bimodal;7-12;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;MWE05dw;dw;3;Monomodal o Bimodal;12-25;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;MWE05ew;ew;3;Monomodal o Bimodal;25-50;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;MWE05ew1;ew1;3;Monomodal o Bimodal;25-50;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S205;MWI01dw;dw;2;Monomodal;12-25;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01dw1;dw1;2;Monomodal;12-25;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01e;e;2;Monomodal;25-50;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01ew;ew;2;Monomodal;25-50;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01ew1;ew1;2;Monomodal;25-50;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01f;f;2;Monomodal;50-75;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01fw;fw;2;Monomodal;50-75;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
47S205;MWI01gw;gw;2;Monomodal;>75;Ligero;Moderadamente excesivo;;N/A;3 - 15;50 - 75;Fina;Baja;0;0;0;1.58
MG-080;MWI03dpw;dpw;4;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;N/A;>15%;75 - 100;Fina y media;Media;0;0;0;68.2
MG-080;MWI03dw;dw;4;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;N/A;3 - 15;75 - 100;Fina y media;Media;0;0;0;68.2
MG-080;MWI03ew;ew;4;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;N/A;3 - 15;75 - 100;Fina y media;Media;0;0;0;68.2
MG-080;MWI03fw;fw;4;Monomodal o Bimodal;50-75;Ligero;Bien drenado;;N/A;3 - 15;75 - 100;Fina y media;Media;0;0;0;68.2
47S227;MWI04/MWM03_1dw;dw;3;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;5;N/A;75 - 100;Fina y media;Baja;0;0;0;1.35
47S227;MWI04/MWM03_1ew;ew;3;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;5;N/A;75 - 100;Fina y media;Baja;0;0;0;1.35
47S227;MWI04/MWM03_1fw;fw;3;Monomodal o Bimodal;50-75;Ligero;Bien drenado;;5;N/A;75 - 100;Fina y media;Baja;0;0;0;1.35
P-035;MWI05cw;cw;3;Monomodal o Bimodal;7-12;N/A;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;0;62
P-035;MWI05dw;dw;3;Monomodal o Bimodal;12-25;N/A;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;0;62
SMG-080;MWL8801dw;dw;3;Monomodal o Bimodal;12-25;Ligero;Excesivamente drenado;;40;N/A;<25;Fina y media;Media;0;0;0;60.8
SMG-080;MWL8801ew;ew;3;Monomodal o Bimodal;25-50;Ligero;Excesivamente drenado;;40;N/A;<25;Fina y media;Media;0;0;0;60.8
47S208;MWM01ew;ew;3;Monomodal o Bimodal;25-50;N/A;Bien drenado;;20;0.1 - 3;50 - 75;Fina y media;#N/A;#N/A;#N/A;#N/A;#N/A
MG-091;MWM03cw;cw;3;Monomodal o Bimodal;7-12;Moderado;Bien drenado;;N/A;15 - 50;<25;Fina y media;Muy baja;0;0;0;10.9
MG-091;MWM03dw;dw;3;Monomodal o Bimodal;12-25;Moderado;Bien drenado;;N/A;15 - 50;<25;Fina y media;Muy baja;0;0;0;10.9
MG-091;MWM03dw1;dw1;3;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;N/A;15 - 50;<25;Fina y media;Muy baja;0;0;0;10.9
MG-091;MWM03ew;ew;3;Monomodal o Bimodal;25-50;Moderado;Bien drenado;;N/A;15 - 50;<25;Fina y media;Muy baja;0;0;0;10.9
MG-091;MWM03ew1;ew1;3;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;N/A;15 - 50;<25;Fina y media;Muy baja;0;0;0;10.9
47S229;MWM04cw;cw;3;Monomodal o Bimodal;7-12;Ligero;Bien drenado;;25;3 - 15;50 - 75;Fina y media;Baja;0;0;0;0.63
47S229;MWM04dw;dw;3;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;25;3 - 15;50 - 75;Fina y media;Baja;0;0;0;0.63
47S229;MWM04ew;ew;3;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;25;3 - 15;50 - 75;Fina y media;Baja;0;0;0;0.63
47S229;MWM04ew1;ew1;3;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;25;3 - 15;50 - 75;Fina y media;Baja;0;0;0;0.63
47S229;MWM04fw;fw;3;Monomodal o Bimodal;50-75;Ligero;Bien drenado;;25;3 - 15;50 - 75;Fina y media;Baja;0;0;0;0.63
47S203;MWM05bw;bw;2;Monomodal;3-7;Ligero;Bien drenado;;40;0.1 - 3;50 - 75;Muy fina y fina;Baja;0;0;0;0.08
47S203;MWM05dw;dw;2;Monomodal;12-25;Ligero;Bien drenado;;40;0.1 - 3;50 - 75;Muy fina y fina;Baja;0;0;0;0.08
47S203;MWM05ew;ew;2;Monomodal;25-50;Ligero;Bien drenado;;40;0.1 - 3;50 - 75;Muy fina y fina;Baja;0;0;0;0.08
SMG-078;MWM08bw;bw;3;Monomodal o Bimodal;3-7;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;81.8
SMG-078;MWM08cw;cw;3;Monomodal o Bimodal;7-12;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;81.8
SMG-078;MWM09aw;aw;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;81.8
47S308;PAsA_01b;b;3;Monomodal o Bimodal;3-7;N/A;Moderadamente excesivo;;0;N/A;100 - 150;Fina y media;0;#N/A;#N/A;#N/A;#N/A
47S215;PWE01a;a;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;<0.1;100 - 150;N/A;Baja;0;0;0;2.28
47S215;PWE01b;b;3;Monomodal o Bimodal;3-7;N/A;Bien drenado;;N/A;<0.1;100 - 150;N/A;Baja;0;0;0;2.28
MG-059;PWE02a;a;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;50 - 75;N/A;Muy baja;0;0;23.1;2
